Source data: /Users/nancyhd/Documents/Logomatic/Outputs/LOG01.bin
ADC, Accel X, Accel Y, Accel Z
1827,-0.1191,1.999,-0.9541
1826,-0.1504,1.999,-0.9463
1826,-0.1553,1.999,-0.9463
1826,-0.1553,1.999,-0.9453
1826,-0.1611,1.999,-0.9463
1826,-0.1563,1.999,-0.9531
1825,-0.1494,1.999,-0.9502
1825,-0.1523,1.999,-0.9531
1824,-0.1484,1.999,-0.9531
1825,-0.1494,1.999,-0.9502
1825,-0.1563,1.999,-0.9502
1823,-0.1563,1.999,-0.9453
1823,-0.1494,1.999,-0.9502
1823,-0.1533,1.999,-0.9453
1823,-0.1494,1.999,-0.9531
1823,-0.1523,1.999,-0.9502
1824,-0.1494,1.999,-0.9531
1823,-0.1553,1.999,-0.9502
1824,-0.1494,1.999,-0.9502
1824,-0.1553,1.999,-0.9521
1822,-0.1563,1.999,-0.9521
1821,-0.1494,1.999,-0.9531
1821,-0.1553,1.999,-0.9531
1822,-0.1533,1.999,-0.9502
1821,-0.1494,1.999,-0.9541
1822,-0.1494,1.999,-0.9502
1821,-0.1533,1.999,-0.9531
1821,-0.1533,1.999,-0.9531
1821,-0.1523,1.999,-0.9521
1821,-0.1563,1.999,-0.9521
1821,-0.1572,1.999,-0.9385
1820,-0.1602,1.999,-0.9385
1820,-0.1494,1.999,-0.9492
1820,-0.1494,1.999,-0.9443
1821,-0.1563,1.999,-0.9443
1821,-0.1484,1.999,-0.957
1820,-0.1582,1.999,-0.9453
1820,-0.1533,1.999,-0.9443
1820,-0.1494,1.999,-0.9502
1820,-0.1494,1.999,-0.9463
1820,-0.1533,1.999,-0.9521
1820,-0.1533,1.999,-0.9502
1819,-0.1572,1.999,-0.9443
1820,-0.1475,1.999,-0.9531
1819,-0.1553,1.999,-0.9531
1820,-0.1563,1.999,-0.9414
1819,-0.1582,1.999,-0.9414
1819,-0.1563,1.999,-0.9463
1820,-0.1504,1.999,-0.9502
1819,-0.1494,1.999,-0.9473
1819,-0.1602,1.999,-0.9453
1819,-0.1631,1.999,-0.9463
1819,-0.1553,1.999,-0.9531
1819,-0.1504,1.999,-0.9531
1819,-0.1523,1.999,-0.9531
1819,-0.1533,1.999,-0.9502
1819,-0.1533,1.999,-0.9502
1819,-0.1533,1.999,-0.9531
1819,-0.1494,1.999,-0.9463
1819,-0.1533,1.999,-0.9502
1819,-0.1533,1.999,-0.9502
1818,-0.1553,1.999,-0.9473
1818,-0.1494,1.999,-0.9502
115,-0.1533,1.999,-0.9502
1827,-0.1504,1.999,-0.9502
1826,-0.1504,1.999,-0.9453
1826,-0.1533,1.999,-0.9502
1826,-0.1533,1.999,-0.9521
1826,-0.1553,1.999,-0.9473
1826,-0.1533,1.999,-0.9521
1825,-0.1582,1.999,-0.9453
1825,-0.1494,1.999,-0.9463
1824,-0.1504,1.999,-0.9453
1825,-0.1533,1.999,-0.9502
1825,-0.1504,1.999,-0.9443
1823,-0.1533,1.999,-0.9531
1823,-0.1553,1.999,-0.9531
1823,-0.1504,1.999,-0.9531
1823,-0.1553,1.999,-0.9531
1823,-0.1582,1.999,-0.9453
1824,-0.1533,1.999,-0.9463
1823,-0.1504,1.999,-0.9502
1824,-0.1553,1.999,-0.9473
1824,-0.1553,1.999,-0.9521
1822,-0.1553,1.999,-0.9463
1821,-0.1602,1.999,-0.9521
1821,-0.1504,1.999,-0.9531
1822,-0.1494,1.999,-0.9346
1821,-0.1602,1.999,-0.9502
1822,-0.1631,1.999,-0.958
1821,-0.1523,1.999,-0.9473
1821,-0.1572,1.999,-0.9531
1821,-0.1563,1.999,-0.9531
1821,-0.1602,1.999,-0.9453
1821,-0.1563,1.999,-0.9551
1820,-0.1602,1.999,-0.9502
1820,-0.1494,1.999,-0.9492
1820,-0.1572,1.999,-0.9521
1821,-0.1572,1.999,-0.9619
1821,-0.1533,1.999,-0.958
1820,-0.1553,1.999,-0.9551
1820,-0.1533,1.999,-0.957
1820,-0.1533,1.999,-0.9531
1820,-0.1553,1.999,-0.9521
1820,-0.1563,1.999,-0.9551
1820,-0.1504,1.999,-0.9531
1819,-0.1504,1.999,-0.9502
1820,-0.1631,1.999,-0.9502
1819,-0.1563,1.999,-0.9463
1820,-0.1494,1.999,-0.9502
1819,-0.1553,1.999,-0.9395
1819,-0.1533,1.999,-0.9473
1820,-0.1494,1.999,-0.9502
1819,-0.1494,1.999,-0.9414
1819,-0.1504,1.999,-0.957
1819,-0.1533,1.999,-0.9551
1819,-0.1533,1.999,-0.9531
1819,-0.1572,1.999,-0.9531
1819,-0.1533,1.999,-0.957
1819,-0.1553,1.999,-0.9453
1819,-0.1563,1.999,-0.9531
1819,-0.1533,1.999,-0.957
1819,-0.1563,1.999,-0.9492
1819,-0.1533,1.999,-0.9551
1819,-0.1484,1.999,-0.9502
1818,-0.1553,1.999,-0.9531
1818,-0.1533,1.999,-0.9531
1818,-0.1533,1.999,-0.9531
1817,-0.1504,1.999,-0.9551
1817,-0.1504,1.999,-0.9521
1816,-0.1563,1.999,-0.9453
1816,-0.1523,1.999,-0.9453
1816,-0.1494,1.999,-0.9414
1816,-0.1475,1.999,-0.9521
1816,-0.1494,1.999,-0.9453
1816,-0.1494,1.999,-0.9473
1816,-0.1533,1.999,-0.9521
1815,-0.1494,1.999,-0.9531
1816,-0.166,1.999,-0.9463
1817,-0.1602,1.999,-0.9502
1816,-0.1523,1.999,-0.9502
1816,-0.1494,1.999,-0.9541
1815,-0.1533,1.999,-0.9541
1816,-0.1504,1.999,-0.9531
1816,-0.1533,1.999,-0.9502
1816,-0.1563,1.999,-0.9502
1815,-0.1572,1.999,-0.9424
1815,-0.1475,1.999,-0.9531
1816,-0.1631,1.999,-0.9453
1816,-0.1504,1.999,-0.9463
1816,-0.1504,1.999,-0.9541
1815,-0.1475,1.999,-0.9531
1815,-0.1533,1.999,-0.9502
1816,-0.1553,1.999,-0.9531
1816,-0.1602,1.999,-0.9453
1816,-0.1523,1.999,-0.9541
1816,-0.1494,1.999,-0.9521
1816,-0.1445,1.999,-0.9502
